Category,Rule,Colour
Round-Based Rule,Make a rule for another player to follow until it is your turn again. Everyone who breaks the rule has to drink.,DarkGreen
Round-Based Rule,"The player farthest from you makes a rule for you to follow until it is your turn again. Everyone, drink if you break the rule.",DarkGreen
Round-Based Rule,Make a rule that everyone has to follow until it is your turn again. Everyone who breaks the rule has to drink.,DarkGreen
Round-Based Rule,"Talk with an accent until your next turn. If caught not speaking in the accent, you drink.",DarkGreen
Round-Based Rule,Whoever drank in the last round gets to pick two people to drink (they may pick the same player twice).,DarkGreen
Round-Based Rule,"You cannot laugh until it’s your turn again. If you do, drink.",DarkGreen
Round-Based Rule,"You cannot make eye contact with anyone until it’s your turn again. If you do, you drink.",DarkGreen
Drink Time!,Drink! Drink! Drink! Everybody drinks!,Fuchsia
Drink Time!,Everyone except you drinks,Fuchsia
Drink Time!,The player after you drinks.,Fuchsia
Drink Time!,The player before you drinks.,Fuchsia
Drink Time!,Take three drinks.,Fuchsia
Drink Time!,Take two drinks.,Fuchsia
Drink Time!,Take a drink.,Fuchsia
Trait-Based Drink,All men drink.,DarkGreen
Trait-Based Drink,All women drink.,DarkGreen
Trait-Based Drink,Take a drink if you've ever been on TV.,DarkGreen
Trait-Based Drink,Everyone drinks for every sibling they have.,DarkGreen
Trait-Based Drink,The player who has travelled the furthest away this year drinks.,DarkGreen
Trait-Based Drink,"Everyone, drink if you're afraid of spiders",DarkGreen
Trait-Based Drink,"Everyone, drink if you like pineapple on pizza",DarkGreen
Trait-Based Drink,"Everyone, drink if you're unemployed.",DarkGreen
Trait-Based Drink,"Everyone, drink if you've been in a motor accident",DarkGreen
Trait-Based Drink,"Everyone, drink if you've broke a bone.",DarkGreen
Trait-Based Drink,"Everyone, drink if you currently have dye in your hair.",DarkGreen
Trait-Based Drink,"Everyone, drink if you're wearing a belt.",DarkGreen
Trait-Based Drink,"Everyone, drink if you're wearing black.",DarkGreen
Trait-Based Drink,"Everyone, drink if you've ever eaten from a bin.",DarkGreen
Trait-Based Drink,"Everyone, drink if your birthday was in the last 6 months",DarkGreen
Trait-Based Drink,"Everyone, drink if your birthday is in the next 6 months",DarkGreen
Trait-Based Drink,"Everyone, drink if you're wearing white.",DarkGreen
Trait-Based Drink,"Everyone, drink if you've ever spent over £1,000 in a day.",DarkGreen
Trait-Based Drink,Everyone born in the same month as you drinks.,DarkGreen
Trait-Based Drink,Everyone born in the same month as you drinks.,DarkGreen
Trait-Based Drink,Everyone in a relationship drinks.,DarkGreen
Trait-Based Drink,Everyone left-handed drinks.,DarkGreen
Trait-Based Drink,Everyone of the opposite sex drinks.,DarkGreen
Trait-Based Drink,Everyone older than you drinks.,DarkGreen
Trait-Based Drink,Everyone younger than you drinks.,DarkGreen
Trait-Based Drink,Everyone shorter than you drinks.,DarkGreen
Trait-Based Drink,Everyone wearing a top with buttons drinks.,DarkGreen
Trait-Based Drink,Everyone wearing a watch drinks.,DarkGreen
Trait-Based Drink,Everyone wearing glasses drinks.,DarkGreen
Trait-Based Drink,Everyone wearing jeans drinks.,DarkGreen
Trait-Based Drink,Everyone wearing the same colour top as you drinks.,DarkGreen
Trait-Based Drink,Everyone who has a dietary restriction drinks.,DarkGreen
Trait-Based Drink,Everyone who is shorter than you drinks.,DarkGreen
Trait-Based Drink,Everyone who is single drinks.,DarkGreen
Trait-Based Drink,Everyone who is single drinks.,DarkGreen
Trait-Based Drink,Everyone who is taller than you drinks.,DarkGreen
Trait-Based Drink,Everyone who is taller than you drinks.,DarkGreen
Trait-Based Drink,"Everyone with an Apple phone, take a drink. Everyone with an Android phone, take two drinks.",DarkGreen
Trait-Based Drink,Everyone with facial hair drinks.,DarkGreen
Trait-Based Drink,Everyone with longer hair than you drinks.,DarkGreen
Trait-Based Drink,"Everyone with tattoos, drink.",DarkGreen
Trait-Based Drink,"Everyone with the letter ""A"" in their first name drinks twice.",DarkGreen
Trait-Based Drink,"Everyone, drink if you’ve ever faked an orgasm.",DarkGreen
Trait-Based Drink,"If your age is an even number, drink.",DarkGreen
Trait-Based Drink,The oldest player take a drink.,DarkGreen
Trait-Based Drink,"On the count of three, everyone holds up either a thumbs up or a thumbs down. Whoever does the opposite of you drinks.",DarkGreen
Trait-Based Drink,Everyone take a drink for every pet you have,DarkGreen
Trait-Based Drink,"On the count of three, everyone says a colour from the rainbow. Whoever says the same colour as you has to drink.",DarkGreen
Trait-Based Drink,"players who use spotify drink, players who use apple music take two drinks.",DarkGreen
Trait-Based Drink,Take a drink with the player you've known the longest.,DarkGreen
Trait-Based Drink,The player farthest from you drinks.,DarkGreen
Trait-Based Drink,The player nearest to you drinks.,DarkGreen
Trait-Based Drink,The player who is the most depressed picks two other people to drink (you can pick the same player twice).,DarkGreen
Trait-Based Drink,The player who most recently posted on social media drinks.,DarkGreen
Trait-Based Drink,The player who most recently used the bathroom drinks.,DarkGreen
Trait-Based Drink,The player with the biggest ears drinks.,DarkGreen
Trait-Based Drink,"The player with the biggest hands picks someone to drink, and takes two drinks.",DarkGreen
Trait-Based Drink,The player with the largest shoe size drinks.,DarkGreen
Trait-Based Drink,The player with the longest first name drinks. If there’s a tie you both drink.,DarkGreen
Trait-Based Drink,The player with the most drink in their vessel drinks.,DarkGreen
Trait-Based Drink,The player with the least drink in their vessel drinks.,DarkGreen
Trait-Based Drink,The player with the shortest last name drinks. If there is a tie you both drink.,DarkGreen
Trait-Based Drink,The player with the least battery left in their phone takes two drinks.,DarkGreen
Trait-Based Drink,The players to either side of you drink.,DarkGreen
Trait-Based Drink,Everyone wearing a hat drinks.,DarkGreen
Trait-Based Drink,The youngest player takes a drink.,DarkGreen
Vote,Pick a player to drink.,Tan
Vote,Tell the sexiest player to take a drink.,Tan
Vote,"Vote on who the funniest player, they pick someone to drink.",Tan
Permanent Rule,"Make a new rule for the rest of the game. If most players object, take 2 drinks. Rule-break = drink.",dodgerblue
Permanent Rule,Swap player turn order! ,dodgerblue
No Drink,No drinks this turn.,Grey
No Drink,No drinks allowed until the next game-mandated drink.,Grey
No Drink,Switch places with someone across from you.,Grey
Trait-Based Drink,The player with the most battery left in their phone takes two drinks.,DarkGreen
Trait-Based Drink,Everyone with a middle name drinks.,DarkGreen
Trait-Based Drink,Everyone who has ever been on a boat drinks.,DarkGreen
Trait-Based Drink,Drink if you’ve ever fallen asleep in public.,DarkGreen
Trait-Based Drink,Drink if you've ever had braces.,DarkGreen
Trait-Based Drink,Drink if you’ve cried during a movie in the last year.,DarkGreen
Trait-Based Drink,Everyone who currently has a nickname drinks.,DarkGreen
Trait-Based Drink,Everyone with an odd number of letters in their first name drinks.,DarkGreen
Trait-Based Drink,"If you can't whistle properly, take 2 drinks",DarkGreen
Trait-Based Drink,Drink if you’ve ever had a speeding ticket.,DarkGreen
Trait-Based Drink,Everyone who has more than one piercing drinks.,DarkGreen
Trait-Based Drink,Everyone who’s wearing socks with patterns drinks.,DarkGreen
Trait-Based Drink,Drink if you’ve ever worked in retail.,DarkGreen
Trait-Based Drink,Drink if you've ever been fired from a job.,DarkGreen
Trait-Based Drink,Everyone who’s been in a long-distance relationship drinks.,DarkGreen
Trait-Based Drink,Everyone who has a first name starting with a vowel drinks.,DarkGreen
Trait-Based Drink,Drink if you’ve ever joined a gym and quit within six months.,DarkGreen
Trait-Based Drink,Everyone who prefers tea over coffee drinks.,DarkGreen
Trait-Based Drink,"Drink if you’ve ever lost your phone. If more than one player, cheers! ",DarkGreen
Trait-Based Drink,Everyone who has run a marathon or done a major sporting event drinks.,DarkGreen
Trait-Based Drink,Drink if you’ve ever won a trophy or medal.,DarkGreen
Round-Based Rule,Everyone speak in different accents for 1 round. Whoever fails drinks.,SaddleBrown
Permanent Rule,No more pointing. Pointing = drink.,dodgerblue
Permanent Rule,Nickname Time! Everyone refers to eachother by nicknames. Fail = drink.,dodgerblue
Permanent Rule,Opposite Hands! Use opposite hands to drink. Fail = drink.,dodgerblue
Permanent Rule,Ban a Word! This player bans a word. Speaking banned word = drink.,dodgerblue
Round-Based Rule,Questions Only! Only ask questions until your turn again. Making a statement = drink.,SaddleBrown
Round-Based Rule,Speak in Rhyme! Every sentence you say must rhyme until your turn again. Failure = drink.,SaddleBrown
Group Challenge,"On the count of three, everyone strikes a pose. Most boring pose (as judged by the group) drinks.",Purple
Challenge,Spell your surname backwards. Hesitate or mistake = drink.,Red
Challenge,Perform a monologue from a movie. First player to guess the movie picks someone to drink.,Red
Challenge,Show everyone your most recent browing history or finish your drink.,Red
Challenge,Recite the alphabet backwards or take a drink.,Red
Trait-Based Drink,Drink if you’ve ever had a near death experience.,DarkGreen
Trait-Based Drink,"Whoever shat most recently, take a drink.",DarkGreen
Trait-Based Drink,"Everyone, take a drink for every hour that's passed since you last urinated.",DarkGreen
Trait-Based Drink,"Everyone, take a drink if you read product ingredient labels.",DarkGreen
Trait-Based Drink,"Everyone, take a drink if your surname ends in an ""s"".",DarkGreen
Trait-Based Drink,"Everyone, take a drink if you play games on your phone",DarkGreen
Trait-Based Drink,"Whoever put the most effort into their appearance, take 2 drinks.",DarkGreen
Trait-Based Drink,"Whoever put the least effort into their appearance, take a drink.",DarkGreen
Trait-Based Drink,"Everyone, take a drink if you're wearing colourful socks",DarkGreen
Trait-Based Drink,Everyone with shorter hair than you takes a drink.,DarkGreen
Trait-Based Drink,Everyone who smokes tobacco takes a drink,DarkGreen
Trait-Based Drink,"Whoever has the highest qualification, take a drink.",DarkGreen
Trait-Based Drink,"Everyone who's drink is more potent (ABV%) than yours, take a drink",DarkGreen
Trait-Based Drink,"Everyone who's drink is less potent (ABV%) than yours, take 2 drinks",DarkGreen
Trait-Based Drink,"Everyone who has special dietary requirements, take a drink.",DarkGreen
Trait-Based Drink,"Everyone with a formal mental health diagnoses, take a drink.",DarkGreen
Trait-Based Drink,"Anyone who's ever undergone surgery, take a drink.",DarkGreen
Vote,Everyone you point at takes a drink.,Tan
Vote,"If you want, assign someone who drinks for you this round",Tan
Group Challenge,Set a timer for 4 minutes. Whoever's turn it is when it rings drinks.,Purple
Group Voting,Vote on who has the most different accent. They take a drink.,DarkOrange
Trait-Based Drink,Everyone who has different hair colour from your takes a drink.,DarkGreen
Group Voting,Vote on who is most likely to [insert scenario]. That player drinks.,DarkOrange
Group Voting,Vote on who has the worst outfit. That player takes a drink.,DarkOrange
Group Voting,The group votes on who is the most likely to spill their drink. They drink.,DarkOrange
Drink Time!,Take a drink.,Fuchsia
Drink Time!,Take a drink.,Fuchsia
Drink Time!,Take a drink.,Fuchsia
Drink Time!,Take a drink.,Fuchsia
Drink Time!,Take a drink.,Fuchsia
Drink Time!,Take a drink.,Fuchsia
Drink Time!,Take a drink.,Fuchsia
Drink Time!,Take a drink.,Fuchsia
Drink Time!,Take a drink.,Fuchsia
Drink Time!,Take a drink.,Fuchsia
Drink Time!,Take a drink.,Fuchsia
Drink Time!,Take a drink.,Fuchsia
Drink Time!,Take a drink.,Fuchsia
Drink Time!,Take a drink.,Fuchsia
Drink Time!,Take a drink.,Fuchsia
Drink Time!,Take a drink.,Fuchsia
Drink Time!,Take a drink.,Fuchsia
Drink Time!,Take a drink.,Fuchsia
Drink Time!,Take a drink.,Fuchsia
Drink Time!,Take two drinks.,Fuchsia
Drink Time!,Take two drinks.,Fuchsia
Drink Time!,Take two drinks.,Fuchsia
Drink Time!,Take two drinks.,Fuchsia
Drink Time!,Take two drinks.,Fuchsia
Drink Time!,Take two drinks.,Fuchsia
Drink Time!,Take two drinks.,Fuchsia
Drink Time!,Take two drinks.,Fuchsia
Drink Time!,Take three drinks.,Fuchsia
Drink Time!,Take three drinks.,Fuchsia
Drink Time!,Take three drinks.,Fuchsia
Drink Time!,Take three drinks.,Fuchsia
